family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Picornaviridae,Picornaviridae sp.,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,2,3,4,5,3.19E-07,0.319383105
Picornaviridae,megrivirus C1,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,3,3,4,30,1.92E-06,1.916298631
Picornaviridae,megrivirus C2,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,4,3,4,62,4.05E-06,4.052025936
Poxviridae,Molluscum contagiosum virus subtype 1,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,3,3,4,5,3.42E-07,0.342199588
Poxviridae,Orf virus,Chicken,Ebonyi ,Rectal,Omnivores,peri-domesticated,7,3,4,119,8.14E-06,8.144350189
Tymoviridae,Nanning tick virus 2,Chicken,Ebonyi,Rectal,Omnivores,peri-domesticated,1,3,4,13,8.49E-07,0.848506484
Adenoviridae,Fowl adenovirus 9,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,13,6.09E-06,6.087458992
Adenoviridae,Fowl aviadenovirus 11,Dog,Ebonyi ,Oral,Carnivores,domesticated,2,24,31,13,6.09E-06,6.087458992
Adenoviridae,Fowl aviadenovirus D,Dog,Ebonyi ,Oral,Carnivores,domesticated,2,24,31,40,1.87E-05,18.73064305
Adenoviridae,Human mastadenovirus D,Dog,Ebonyi ,Oral,Carnivores,domesticated,2,24,31,10,4.68E-06,4.682660763
Astroviridae,Avian nephritis virus,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,12,5.62E-06,5.619192915
Astroviridae,Avian nephritis virus 2,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,20,9.37E-06,9.365321526
Astroviridae,Mamastrovirus 3,Dog,Ebonyi ,Oral,Carnivores,domesticated,5,24,31,40,1.16E-05,11.57016558
Genomoviridae,Genomoviridae sp.,Dog,Ebonyi ,Oral,Carnivores,domesticated,6,24,31,72,3.37E-05,33.71515749
Genomoviridae,Plant associated genomovirus 6,Dog,Ebonyi ,Oral,Carnivores,domesticated,2,24,31,14,6.56E-06,6.555725068
Mitoviridae,Hangzhou mitovirus 6,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,27,1.41E-05,14.08266076
Mitoviridae,Mitoviridae sp.,Dog,Ebonyi ,Oral,Carnivores,domesticated,3,24,31,8,3.75E-06,3.74612861
Nodaviridae,Macrobrachium rosenbergii nodavirus,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,6,2.81E-06,2.809596458
Orthoherpesviridae,Human betaherpesvirus 5,Dog,Ebonyi ,Oral,Carnivores,domesticated,2,24,31,8,3.75E-06,3.74612861
Papillomaviridae,Canine papillomavirus 21,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,1648,0.000911611,911.611
Papillomaviridae,Human papillomavirus 174,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,10,1.43E-06,1.427898277
Papillomaviridae,Human papillomavirus 93,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,6,2.81E-06,2.809596458
Paramyxoviridae,avian paramyxovirus 1,Dog,Ebonyi ,Oral,Carnivores,domesticated,2,24,31,36,1.69E-05,16.85757875
Parvoviridae,Bufavirus-2,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,6,2.81E-06,2.809596458
Picobirnaviridae,Picobirnaviridae sp.,Dog,Ebonyi ,Oral,Carnivores,domesticated,3,24,31,74,1.06E-05,10.56644725
Picobirnaviridae,Picobirnavirus sp.,Dog,Ebonyi ,Oral,Carnivores,domesticated,8,24,31,56,2.62E-05,26.22290027
Picobirnaviridae,Porcine picobirnavirus,Dog,Ebonyi ,Oral,Carnivores,domesticated,6,24,31,44,6.78E-06,6.783477932
Poxviridae,Orf virus,Dog,Ebonyi ,Oral,Carnivores,domesticated,7,24,31,25,3.57E-06,3.569745691
Unclassifed,Retsystermes virus,Dog,Ebonyi ,Oral,Carnivores,domesticated,1,24,31,15,7.02E-06,7.023991144
Genomoviridae,Human associated gemykibivirus 2,Dog,Ebonyi ,Rectal,Carnivores,domesticated,5,24,31,4,2.79E-07,0.278735272
Phycodnaviridae,Orpheovirus IHUMI-LCC2,Dog,Ebonyi ,Rectal,Carnivores,domesticated,1,24,31,4,2.79E-07,0.278735272
Picobirnaviridae,Bovine picobirnavirus,Dog,Ebonyi ,Rectal,Carnivores,domesticated,4,24,31,4,2.79E-07,0.278735272
Picobirnaviridae,Picobirnavirus sp.,Dog,Ebonyi ,Rectal,Carnivores,domesticated,8,24,31,39,2.76E-06,2.760779269
Poxviridae,Orf virus,Dog,Ebonyi ,Rectal,Carnivores,domesticated,7,24,31,164,1.14E-05,11.42814616
